feature,importance,normalized_importance,cumulative_importance
sr_training_speed_level,211.8,0.03898398674765323,0.03898398674765323
bd_training_hut_level,209.4,0.03854224185532855,0.07752622860298178
bd_outpost_portal_level,202.50000000000003,0.03727222528989509,0.11479845389287688
bd_healing_lodge_level,192.0,0.0353395913859746,0.1501380452788515
sr_troop_defense_level,184.4,0.033940732560279775,0.18407877783913126
bd_warehouse_level,175.09999999999997,0.03222897110252162,0.2163077489416529
bd_barrack_level,174.10000000000005,0.03204491073071968,0.24835265967237258
bd_healing_spring_level,173.29999999999998,0.031897662433278115,0.2802503221056507
bd_market_level,165.70000000000002,0.03049880360758329,0.310749125713234
bd_hall_of_war_level,165.5,0.030461991533222897,0.34121111724645686
bd_hero_strengthen_level,160.1,0.02946806552549236,0.3706791827719492
bd_hero_pve_level,156.4,0.028787042149825144,0.39946622492177436
bd_guest_cavern_level,154.0,0.02834529725750046,0.4278115221792748
bd_dolmen_level,150.79999999999998,0.027756304067734213,0.45556782624700903
sr_outpost_durability_level,149.50000000000003,0.027517025584391685,0.4830848518314007
bd_magic_coin_tree_level,142.5,0.026228602981778024,0.5093134548131787
bd_hero_gacha_level,140.40000000000003,0.025842076200993932,0.5351555310141726
sr_gathering_march_speed_level,140.4,0.02584207620099393,0.5609976072151664
sr_healing_space_level,130.4,0.024001472482974417,0.5849990796981409
bd_watchtower_level,124.1,0.022841892140622124,0.6078409718387631
sr_healing_speed_level,120.0,0.022087244616234125,0.6299282164549972
sr_construction_speed_level,115.49999999999999,0.021258972943125343,0.6511871893981225
sr_infantry_atk_level,113.5,0.020890852199521442,0.672078041597644
sr_cavalry_atk_level,111.4,0.020504325418737347,0.6925823670163813
sr_pvp_march_speed_level,96.0,0.0176697956929873,0.7102521627093686
sr_infantry_hp_level,93.2,0.017154426651941838,0.7274065893613105
sr_shaman_atk_level,89.10000000000001,0.01639977912755384,0.7438063684888644
sr_cavalry_def_level,86.19999999999999,0.015866004049328176,0.7596723725381925
sr_infantry_def_level,83.30000000000001,0.015332228971102523,0.7750046015092951
sr_scout_level,81.0,0.014908890115958034,0.7899134916252532
sr_troop_load_level,80.0,0.014724829744156084,0.8046383213694093
sr_rss_d_prod_level,79.89999999999999,0.014706423706975887,0.8193447450763851
sr_cavalry_hp_level,78.2,0.014393521074912572,0.8337382661512976
sr_rss_a_gather_level,70.60000000000001,0.012994662249217744,0.8467329284005154
sr_rss_e_prod_level,67.10000000000001,0.012350450947910917,0.8590833793484263
sr_hide_storage_level,64.5,0.011871893981225842,0.8709552733296521
sr_gathering_hunter_buff_level,60.900000000000006,0.01120927664273882,0.8821645499723909
sr_troop_consumption_level,58.599999999999994,0.01078593778759433,0.8929504877599852
sr_rss_b_prod_level,55.89999999999999,0.010288974783729062,0.9032394625437142
sr_rss_a_prod_levell,55.2,0.010160132523467699,0.9133995950671819
sr_shaman_hp_level,51.29999999999999,0.009442297073440086,0.9228418921406221
sr_rss_c_prod_level,47.099999999999994,0.008669243511871892,0.931511135652494
sr_alliance_march_speed_level,44.599999999999994,0.008209092582367015,0.939720228234861
sr_rss_e_gather_level,42.8,0.007877783913123503,0.9475980121479846
sr_shaman_def_level,41.50000000000001,0.00763850542978097,0.9552365175777655
sr_shaman_tier_3_level,41.4,0.007620099392600773,0.9628566169703663
sr_rss_c_gather_level,40.900000000000006,0.007528069206699799,0.9703846861770661
sr_infantry_tier_3_level,36.4,0.006699797533591017,0.9770844837106571
sr_rss_d_gather_level,33.9,0.00623964660408614,0.9833241303147433
sr_rss_b_gather_level,30.3,0.005577029265599116,0.9889011595803424
sr_cavalry_tier_4_level,16.1,0.002963371986011412,0.9918645315663538
sr_cavalry_tier_3_level,14.9,0.0027424995398490706,0.9946070311062029
sr_outpost_tier_3_level,13.2,0.0024295969077857537,0.9970366280139886
sr_infantry_tier_4_level,4.8,0.000883489784649365,0.997920117798638
sr_outpost_tier_2_level,4.300000000000001,0.0007914595987483896,0.9987115773973864
sr_shaman_tier_2_level,2.8000000000000003,0.0005153690410454629,0.9992269464384318
sr_infantry_tier_2_level,2.5000000000000004,0.0004601509295048777,0.9996870973679367
sr_cavalry_tier_2_level,1.2,0.00022087244616234125,0.999907969814099
sr_shaman_tier_4_level,0.5,9.203018590097552e-05,1.0
sr_guest_troop_capacity_level,0.0,0.0,1.0
sr_march_size_level,0.0,0.0,1.0
sr_troop_attack_level,0.0,0.0,1.0
sr_outpost_tier_4_level,0.0,0.0,1.0
sr_rss_help_bonus_level,0.0,0.0,1.0
